,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
39,39,0,0,0,,3.0,1.0,2.0,7.0,6.2,8.4,9.5,10.7,12.8,9.6,572.0,684.0,847.0,1100.0,1250.0,900.0,94.0,776.0,,0.0
40,40,0,0,0,,,2.0,,,8.6,10.0,11.4,13.7,16.7,11.3,456.0,535.0,650.0,765.0,945.0,695.0,61.0,7732.0,,0.0
41,41,0,0,0,,2.0,2.0,,2.0,7.3,9.3,10.2,11.7,13.8,10.5,647.0,700.0,790.0,950.0,1300.0,907.0,87.0,1499.0,,0.0
42,42,0,0,0,,2.0,2.0,,8.0,12.1,14.8,16.7,20.4,24.0,16.9,350.0,400.0,453.0,500.0,560.0,459.0,27.0,1032.0,,0.0
43,43,0,0,0,,2.0,2.0,,9.0,10.4,11.5,12.9,15.2,17.5,13.1,450.0,500.0,550.0,630.0,695.0,569.0,43.0,1968.0,,0.0
44,44,0,0,0,,2.0,2.0,,10.0,8.3,9.6,10.7,12.2,13.6,10.7,530.0,610.0,689.0,766.0,910.0,699.0,65.0,3233.0,,0.0
45,45,0,0,0,,,2.0,1.0,,9.4,10.6,12.2,14.8,16.8,12.1,480.0,570.0,675.0,765.0,927.0,699.0,58.0,1781.0,,0.0
46,46,0,0,0,,1.0,2.0,1.0,1.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,44.0,,0.0
47,47,0,0,0,,1.0,2.0,1.0,3.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,45.0,,0.0
48,48,0,0,0,,3.0,2.0,1.0,4.0,14.6,15.4,16.0,20.0,22.5,16.9,380.0,450.0,469.0,520.0,550.0,477.0,28.0,287.0,,0.0
49,49,0,0,0,,3.0,2.0,1.0,5.0,10.9,12.1,13.3,16.0,17.9,13.8,480.0,540.0,600.0,653.0,750.0,616.0,45.0,474.0,,0.0
50,50,0,0,0,,3.0,2.0,1.0,6.0,9.4,10.0,11.3,12.7,14.6,11.4,577.0,620.0,680.0,765.0,820.0,703.0,62.0,661.0,,0.0
51,51,0,0,0,,3.0,2.0,1.0,7.0,8.6,9.7,10.6,12.0,13.4,10.8,640.0,695.0,755.0,920.0,1000.0,840.0,78.0,270.0,,0.0
