Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;;9,4;10,6;12,2;14,8;16,8;12,1;480;570;675;765;927;699;58;1781;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;44;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;45;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 1P;14,6;15,4;16,0;20,0;22,5;16,9;380;450;469;520;550;477;28;287;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 2P;10,9;12,1;13,3;16,0;17,9;13,8;480;540;600;653;750;616;45;474;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 3P;9,4;10,0;11,3;12,7;14,6;11,4;577;620;680;765;820;703;62;661;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 4P+;8,6;9,7;10,6;12,0;13,4;10,8;640;695;755;920;1000;840;78;270;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;;8,3;9,9;11,1;13,4;16,7;11,1;450;520;650;762;950;694;62;5951;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;Maison 1-3P;9,6;11,3;12,9;13,6;16,3;12,4;520;590;700;950;1000;738;60;124;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;Maison 4P+;6,5;6,9;10,3;14,5;16,7;10,7;647;769;1046;1503;3200;1286;120;124;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;Appart 1P;12,1;14,4;16,8;20,6;24,0;16,9;350;400;440;500;560;452;27;741;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;Appart 2P;10,3;11,2;12,7;14,5;17,5;12,9;436;490;536;600;680;551;43;1451;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;Appart 3P;7,5;9,4;10,6;11,7;13,0;10,2;500;590;658;740;833;669;65;2451;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;2. 1 an et plus;Appart 4P+;7,8;9,5;10,0;11,0;12,6;10,2;610;680;750;900;1100;814;80;1060;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;;;8,5;10,0;11,6;14,3;17,4;11,6;476;601;730;955;1280;811;70;4087;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;;Ensemble 4P+;7,8;8,9;10,2;12,0;14,2;10,7;650;792;990;1250;1429;1034;96;917;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;;Ensemble 1P;11,6;13,5;16,2;19,1;22,0;16,1;338;400;450;520;580;461;29;868;;Estimation directe
