,Observatory,Data_year,agglomeration,Type_habitat,epoque_construction_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,methodologie_production
1877,B3000,2020,Agglomération de Nîmes,Maison,Entre 1991-2005,,7.8,7.9,9.4,10.2,10.8,9.1,600.0,680.0,857.0,911.0,950.0,814.0,90.0,175.0,Estimation directe
1878,B3000,2020,Agglomération de Nîmes,Maison,Entre 1991-2005,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,31.0,Estimation directe
1879,B3000,2020,Agglomération de Nîmes,Maison,Entre 1991-2005,Maison 4P+,7.8,8.4,9.6,10.2,10.8,9.1,680.0,797.0,870.0,920.0,956.0,855.0,94.0,144.0,Estimation directe
1880,B3000,2020,Agglomération de Nîmes,Maison,Entre 1991-2005,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,34.0,Estimation directe
1881,B3000,2020,Agglomération de Nîmes,Maison,Entre 1991-2005,,7.8,7.9,9.4,10.2,10.8,9.0,600.0,700.0,842.0,916.0,950.0,811.0,90.0,141.0,Estimation directe
1882,B3000,2020,Agglomération de Nîmes,Maison,Après 2005,,7.9,8.2,9.7,10.6,13.0,9.3,525.0,750.0,847.0,900.0,950.0,800.0,86.0,148.0,Estimation directe
1883,B3000,2020,Agglomération de Nîmes,Maison,Après 2005,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,41.0,Estimation directe
1884,B3000,2020,Agglomération de Nîmes,Maison,Après 2005,Maison 4P+,7.3,8.2,9.0,10.1,10.6,8.9,780.0,847.0,890.0,915.0,950.0,886.0,99.0,107.0,Estimation directe
1885,B3000,2020,Agglomération de Nîmes,Maison,Après 2005,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,41.0,Estimation directe
1886,B3000,2020,Agglomération de Nîmes,Maison,Après 2005,,7.3,8.2,9.5,10.6,11.0,9.0,654.0,780.0,850.0,900.0,950.0,830.0,92.0,107.0,Estimation directe
1887,B3000,2020,Agglomération de Nîmes,Appartement,,,7.1,8.4,9.8,11.3,13.0,9.3,358.0,420.0,510.0,619.0,704.0,528.0,57.0,6506.0,Estimation directe
1888,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 1P,9.0,10.8,12.7,15.1,17.1,12.4,285.0,317.0,350.0,380.0,414.0,351.0,28.0,927.0,Estimation directe
1889,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 2P,8.4,9.4,10.8,11.8,13.0,10.4,372.0,411.0,460.0,514.0,550.0,464.0,44.0,2668.0,Estimation directe
1890,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 3P,7.1,8.2,9.4,10.2,11.2,9.1,463.0,520.0,600.0,650.0,700.0,585.0,65.0,2068.0,Estimation directe
1891,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 4P+,5.6,6.7,7.8,8.8,9.9,7.7,500.0,570.0,700.0,788.0,900.0,697.0,91.0,843.0,Estimation directe
1892,B3000,2020,Agglomération de Nîmes,Appartement,,,7.4,8.8,10.0,11.5,13.3,9.6,360.0,426.0,510.0,610.0,700.0,528.0,55.0,1767.0,Estimation directe
1893,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 1P,9.4,11.8,13.1,15.4,17.5,12.8,300.0,320.0,355.0,380.0,414.0,353.0,28.0,293.0,Estimation directe
1894,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 2P,8.4,9.4,10.7,11.7,13.3,10.4,380.0,425.0,471.0,520.0,550.0,471.0,45.0,755.0,Estimation directe
1895,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 3P,7.3,8.4,9.2,10.3,11.5,9.1,480.0,525.0,610.0,650.0,700.0,597.0,65.0,537.0,Estimation directe
1896,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 4P+,6.3,7.1,8.1,8.8,10.2,8.1,530.0,560.0,730.0,870.0,920.0,735.0,91.0,182.0,Estimation directe
1897,B3000,2020,Agglomération de Nîmes,Appartement,,,6.9,8.3,9.7,11.2,12.8,9.2,355.0,420.0,512.0,620.0,709.0,529.0,58.0,4739.0,Estimation directe
1898,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 1P,8.8,10.6,12.6,14.4,17.1,12.2,280.0,315.0,350.0,380.0,414.0,350.0,29.0,634.0,Estimation directe
1899,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 2P,8.4,9.5,10.8,11.9,12.9,10.5,370.0,406.0,459.0,510.0,550.0,460.0,44.0,1913.0,Estimation directe
1900,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 3P,7.1,8.2,9.4,10.2,11.0,9.0,460.0,514.0,591.0,650.0,699.0,580.0,64.0,1531.0,Estimation directe
1901,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 4P+,5.6,6.6,7.8,8.8,9.8,7.5,480.0,570.0,693.0,765.0,900.0,687.0,91.0,661.0,Estimation directe
1902,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,,7.1,8.4,9.6,11.0,12.7,9.1,350.0,400.0,480.0,600.0,690.0,503.0,55.0,2365.0,Estimation directe
1903,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,Appart 1P,9.0,10.0,12.0,13.8,15.8,11.5,266.0,300.0,350.0,370.0,425.0,340.0,30.0,389.0,Estimation directe
1904,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,Appart 2P,8.1,9.1,10.1,11.3,12.9,9.9,360.0,395.0,440.0,490.0,540.0,442.0,44.0,1004.0,Estimation directe
1905,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,Appart 3P,7.3,8.3,9.2,10.2,11.1,9.0,450.0,500.0,570.0,627.0,680.0,567.0,63.0,695.0,Estimation directe
1906,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,Appart 4P+,5.4,6.6,7.5,8.8,9.2,7.3,520.0,610.0,700.0,750.0,879.0,701.0,96.0,277.0,Estimation directe
1907,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,,7.1,8.3,9.8,11.1,13.3,9.3,357.0,400.0,470.0,560.0,650.0,493.0,53.0,688.0,Estimation directe
1908,B3000,2020,Agglomération de Nîmes,Appartement,Avant 1946,,7.1,8.4,9.6,10.9,12.5,9.0,342.0,400.0,485.0,609.0,700.0,508.0,56.0,1677.0,Estimation directe
1909,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,,6.6,7.8,9.1,10.4,12.0,8.8,375.0,450.0,520.0,610.0,685.0,535.0,61.0,913.0,Estimation directe
1910,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,Appart 1P,10.1,11.7,16.0,17.7,18.8,14.0,335.0,340.0,376.0,395.0,414.0,372.0,27.0,71.0,Estimation directe
1911,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,Appart 2P,7.6,8.8,10.5,11.4,13.2,9.9,353.0,391.0,450.0,500.0,545.0,450.0,45.0,212.0,Estimation directe
1912,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,Appart 3P,7.2,8.2,9.2,10.0,10.7,8.9,463.0,501.0,539.0,611.0,650.0,553.0,62.0,393.0,Estimation directe
1913,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,Appart 4P+,6.0,6.7,7.7,8.8,9.7,7.6,475.0,521.0,600.0,685.0,850.0,627.0,82.0,237.0,Estimation directe
1914,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,,7.4,8.4,9.1,10.9,14.6,9.2,385.0,470.0,526.0,620.0,685.0,545.0,59.0,215.0,Estimation directe
1915,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1946-1970,,6.4,7.6,9.1,10.3,11.9,8.6,365.0,450.0,520.0,600.0,675.0,531.0,61.0,698.0,Estimation directe
1916,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,,6.9,8.4,9.9,11.8,14.3,9.3,347.0,400.0,480.0,600.0,720.0,514.0,55.0,894.0,Estimation directe
1917,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,Appart 1P,11.2,12.6,13.9,16.7,17.1,13.7,303.0,320.0,354.0,370.0,410.0,351.0,26.0,227.0,Estimation directe
1918,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,Appart 2P,8.8,9.4,10.6,11.4,12.7,10.4,380.0,411.0,460.0,500.0,526.0,459.0,44.0,326.0,Estimation directe
